match_id;account_id;hero_id;player_slot;gold;gold_spent;gold_per_min;xp_per_min;kills;deaths;assists;denies;last_hits
0;0;86;0;3261;10960;347;362;9;3;18;1;30
0;1;51;1;2954;17760;494;659;13;3;18;9;109
0;0;83;2;110;12195;350;385;0;4;15;1;58
0;2;11;3;1179;22505;599;605;8;4;19;6;271
0;3;67;4;3307;23825;613;762;20;3;17;13;245
0;4;106;128;476;12285;397;524;5;6;8;5;162
0;0;102;129;317;10355;303;369;4;13;5;2;107
0;5;46;130;2390;13395;452;517;4;8;6;31;208
0;0;7;131;475;5035;189;223;1;14;8;0;27
0;6;73;132;60;17550;496;456;1;11;6;0;147
1;0;7;0;76;12160;218;206;3;4;9;0;36
1;7;82;1;9;19625;581;756;9;10;8;9;343
1;0;71;2;1240;10220;339;352;5;13;11;3;76
1;8;39;3;2400;14395;460;544;12;15;9;8;169
1;4;21;4;1051;12910;365;436;6;11;12;7;131
1;9;73;128;1277;20275;600;509;2;12;24;2;220
1;0;22;129;847;21840;487;517;8;5;17;0;193
1;0;5;130;389;19165;488;583;14;8;9;0;101
1;5;67;131;4055;24165;631;755;16;5;21;11;226
1;0;106;132;2517;22305;585;753;10;7;12;3;250
2;10;51;0;259;7990;237;249;5;13;7;3;97
2;11;109;1;781;12515;322;358;6;11;5;1;179
2;12;9;2;640;13845;355;425;10;6;8;3;154
2;13;41;3;667;13260;328;345;0;9;4;3;154
2;0;27;4;147;7380;189;229;1;10;7;0;41
2;0;38;128;785;20500;450;567;13;7;18;4;163
2;0;7;129;479;15760;376;461;5;6;28;2;78
2;0;10;130;2298;20735;493;535;17;2;14;5;170
2;0;12;131;4448;13990;389;454;7;2;13;2;111
2;0;85;132;3167;10635;313;363;6;5;17;3;51